eBird Location codes:,,,,,,,,
1628,"""US-MT-019:Daniels County"",",,,59,US-,MT-,059,:Meagher County
1629,"""US-MT-017:Custer County"",",,,61,US-,MT-,061,:Mineral County
1630,"""US-MT-015:Chouteau County"",",,,63,US-,MT-,063,:Missoula County
1631,"""US-MT-013:Cascade County"",",,,65,US-,MT-,065,:Musselshell County
1632,"""US-MT-011:Carter County"",",,,67,US-,MT-,067,:Park County
1633,"""US-MT-009:Carbon County"",",,,69,US-,MT-,069,:Petroleum County
1634,"""US-MT-007:Broadwater County"",",,,71,US-,MT-,071,:Phillips County
1635,"""US-MT-005:Blaine County"",",,,73,US-,MT-,073,:Pondera County
1636,"""US-MT-003:Big Horn County"",",,,75,US-,MT-,075,:Powder River County
1637,"""US-MT-001:Beaverhead County"",",,,77,US-,MT-,077,:Powell County
1638,"""US-MO-510:St. Louis city"",",,,79,US-,MT-,079,:Prairie County
1639,"""US-MO-229:Wright County"",",,,81,US-,MT-,081,:Ravalli County
1640,"""US-MO-227:Worth County"",",,,83,US-,MT-,083,:Richland County
1641,"""US-MO-225:Webster County"",",,,85,US-,MT-,085,:Roosevelt County
1642,"""US-MO-223:Wayne County"",",,,87,US-,MT-,087,:Rosebud County
1643,"""US-MO-221:Washington County"",",,,89,US-,MT-,089,:Sanders County
1644,"""US-MO-219:Warren County"",",,,91,US-,MT-,091,:Sheridan County
1645,"""US-MO-217:Vernon County"",",,,93,US-,MT-,093,:Silver Bow County
1646,"""US-MO-215:Texas County"",",,,95,US-,MT-,095,:Stillwater County
1647,"""US-MO-213:Taney County"",",,,97,US-,MT-,097,:Sweet Grass County
1648,"""US-MO-211:Sullivan County"",",,,99,US-,MT-,099,:Teton County
1649,"""US-MO-209:Stone County"",",,,101,US-,MT-,101,:Toole County
1650,"""US-MO-207:Stoddard County"",",,,103,US-,MT-,103,:Treasure County
1651,"""US-MO-205:Shelby County"",",,,105,US-,MT-,105,:Valley County
1652,"""US-MO-203:Shannon County"",",,,107,US-,MT-,107,:Wheatland County
1653,"""US-MO-201:Scott County"",",,,109,US-,MT-,109,:Wibaux County
1654,"""US-MO-199:Scotland County"",",,,111,US-,MT-,111,:Yellowstone County
1655,"""US-MO-197:Schuyler County"",",,,1,US-,NE-,001,:Adams County
1656,"""US-MO-195:Saline County"",",,,3,US-,NE-,003,:Antelope County
1657,"""US-MO-189:St. Louis County"",",,,5,US-,NE-,005,:Arthur County
1658,"""US-MO-187:St. Francois County"",",,,7,US-,NE-,007,:Banner County
1659,"""US-MO-186:Ste. Genevieve County"",",,,9,US-,NE-,009,:Blaine County
1660,"""US-MO-185:St. Clair County"",",,,11,US-,NE-,011,:Boone County
1661,"""US-MO-183:St. Charles County"",",,,13,US-,NE-,013,:Box Butte County
1662,"""US-MO-181:Ripley County"",",,,15,US-,NE-,015,:Boyd County
1663,"""US-MO-179:Reynolds County"",",,,17,US-,NE-,017,:Brown County
1664,"""US-MO-177:Ray County"",",,,19,US-,NE-,019,:Buffalo County
1665,"""US-MO-175:Randolph County"",",,,21,US-,NE-,021,:Burt County
1666,"""US-MO-173:Ralls County"",",,,23,US-,NE-,023,:Butler County
1667,"""US-MO-171:Putnam County"",",,,25,US-,NE-,025,:Cass County
1668,"""US-MO-169:Pulaski County"",",,,27,US-,NE-,027,:Cedar County
1669,"""US-MO-167:Polk County"",",,,29,US-,NE-,029,:Chase County
1670,"""US-MO-165:Platte County"",",,,31,US-,NE-,031,:Cherry County
1671,"""US-MO-163:Pike County"",",,,33,US-,NE-,033,:Cheyenne County
1672,"""US-MO-161:Phelps County"",",,,35,US-,NE-,035,:Clay County
1673,"""US-MO-159:Pettis County"",",,,37,US-,NE-,037,:Colfax County
1674,"""US-MO-157:Perry County"",",,,39,US-,NE-,039,:Cuming County
1675,"""US-MO-155:Pemiscot County"",",,,41,US-,NE-,041,:Custer County
1676,"""US-MO-153:Ozark County"",",,,43,US-,NE-,043,:Dakota County
1677,"""US-MO-151:Osage County"",",,,45,US-,NE-,045,:Dawes County
1678,"""US-MO-149:Oregon County"",",,,47,US-,NE-,047,:Dawson County
1679,"""US-MO-147:Nodaway County"",",,,49,US-,NE-,049,:Deuel County
1680,"""US-MO-145:Newton County"",",,,51,US-,NE-,051,:Dixon County
1681,"""US-MO-143:New Madrid County"",",,,53,US-,NE-,053,:Dodge County
1682,"""US-MO-141:Morgan County"",",,,55,US-,NE-,055,:Douglas County
1683,"""US-MO-139:Montgomery County"",",,,57,US-,NE-,057,:Dundy County
1684,"""US-MO-137:Monroe County"",",,,59,US-,NE-,059,:Fillmore County
1685,"""US-MO-135:Moniteau County"",",,,61,US-,NE-,061,:Franklin County
1686,"""US-MO-133:Mississippi County"",",,,63,US-,NE-,063,:Frontier County
1687,"""US-MO-131:Miller County"",",,,65,US-,NE-,065,:Furnas County
1688,"""US-MO-129:Mercer County"",",,,67,US-,NE-,067,:Gage County
1689,"""US-MO-127:Marion County"",",,,69,US-,NE-,069,:Garden County
1690,"""US-MO-125:Maries County"",",,,71,US-,NE-,071,:Garfield County
1691,"""US-MO-123:Madison County"",",,,73,US-,NE-,073,:Gosper County
1692,"""US-MO-121:Macon County"",",,,75,US-,NE-,075,:Grant County
1693,"""US-MO-119:McDonald County"",",,,77,US-,NE-,077,:Greeley County
1694,"""US-MO-117:Livingston County"",",,,79,US-,NE-,079,:Hall County
1695,"""US-MO-115:Linn County"",",,,81,US-,NE-,081,:Hamilton County
1696,"""US-MO-113:Lincoln County"",",,,83,US-,NE-,083,:Harlan County
1697,"""US-MO-111:Lewis County"",",,,85,US-,NE-,085,:Hayes County
1698,"""US-MO-109:Lawrence County"",",,,87,US-,NE-,087,:Hitchcock County
1699,"""US-MO-107:Lafayette County"",",,,89,US-,NE-,089,:Holt County
1700,"""US-MO-105:Laclede County"",",,,91,US-,NE-,091,:Hooker County
1701,"""US-MO-103:Knox County"",",,,93,US-,NE-,093,:Howard County
1702,"""US-MO-101:Johnson County"",",,,95,US-,NE-,095,:Jefferson County
1703,"""US-MO-099:Jefferson County"",",,,97,US-,NE-,097,:Johnson County
1704,"""US-MO-097:Jasper County"",",,,99,US-,NE-,099,:Kearney County
1705,"""US-MO-095:Jackson County"",",,,101,US-,NE-,101,:Keith County
1706,"""US-MO-093:Iron County"",",,,103,US-,NE-,103,:Keya Paha County
1707,"""US-MO-091:Howell County"",",,,105,US-,NE-,105,:Kimball County
1708,"""US-MO-089:Howard County"",",,,107,US-,NE-,107,:Knox County
1709,"""US-MO-087:Holt County"",",,,109,US-,NE-,109,:Lancaster County
1710,"""US-MO-085:Hickory County"",",,,111,US-,NE-,111,:Lincoln County
1711,"""US-MO-083:Henry County"",",,,113,US-,NE-,113,:Logan County
1712,"""US-MO-081:Harrison County"",",,,115,US-,NE-,115,:Loup County
1713,"""US-MO-079:Grundy County"",",,,117,US-,NE-,117,:McPherson County
1714,"""US-MO-077:Greene County"",",,,119,US-,NE-,119,:Madison County
1715,"""US-MO-075:Gentry County"",",,,121,US-,NE-,121,:Merrick County
1716,"""US-MO-073:Gasconade County"",",,,123,US-,NE-,123,:Morrill County
1717,"""US-MO-071:Franklin County"",",,,125,US-,NE-,125,:Nance County
1718,"""US-MO-069:Dunklin County"",",,,127,US-,NE-,127,:Nemaha County
1719,"""US-MO-067:Douglas County"",",,,129,US-,NE-,129,:Nuckolls County
1720,"""US-MO-065:Dent County"",",,,131,US-,NE-,131,:Otoe County
1721,"""US-MO-063:DeKalb County"",",,,133,US-,NE-,133,:Pawnee County
1722,"""US-MO-061:Daviess County"",",,,135,US-,NE-,135,:Perkins County
1723,"""US-MO-059:Dallas County"",",,,137,US-,NE-,137,:Phelps County
1724,"""US-MO-057:Dade County"",",,,139,US-,NE-,139,:Pierce County
1725,"""US-MO-055:Crawford County"",",,,141,US-,NE-,141,:Platte County
1726,"""US-MO-053:Cooper County"",",,,143,US-,NE-,143,:Polk County
1727,"""US-MO-051:Cole County"",",,,145,US-,NE-,145,:Red Willow County
1728,"""US-MO-049:Clinton County"",",,,147,US-,NE-,147,:Richardson County
1729,"""US-MO-047:Clay County"",",,,149,US-,NE-,149,:Rock County
1730,"""US-MO-045:Clark County"",",,,151,US-,NE-,151,:Saline County
1731,"""US-MO-043:Christian County"",",,,153,US-,NE-,153,:Sarpy County
1732,"""US-MO-041:Chariton County"",",,,155,US-,NE-,155,:Saunders County
1733,"""US-MO-039:Cedar County"",",,,157,US-,NE-,157,:Scotts Bluff County
1734,"""US-MO-037:Cass County"",",,,159,US-,NE-,159,:Seward County
1735,"""US-MO-035:Carter County"",",,,161,US-,NE-,161,:Sheridan County
1736,"""US-MO-033:Carroll County"",",,,163,US-,NE-,163,:Sherman County
1737,"""US-MO-031:Cape Girardeau County"",",,,165,US-,NE-,165,:Sioux County
1738,"""US-MO-029:Camden County"",",,,167,US-,NE-,167,:Stanton County
1739,"""US-MO-027:Callaway County"",",,,169,US-,NE-,169,:Thayer County
1740,"""US-MO-025:Caldwell County"",",,,171,US-,NE-,171,:Thomas County
1741,"""US-MO-023:Butler County"",",,,173,US-,NE-,173,:Thurston County
1742,"""US-MO-021:Buchanan County"",",,,175,US-,NE-,175,:Valley County
1743,"""US-MO-019:Boone County"",",,,177,US-,NE-,177,:Washington County
1744,"""US-MO-017:Bollinger County"",",,,179,US-,NE-,179,:Wayne County
1745,"""US-MO-015:Benton County"",",,,181,US-,NE-,181,:Webster County
1746,"""US-MO-013:Bates County"",",,,183,US-,NE-,183,:Wheeler County
1747,"""US-MO-011:Barton County"",",,,185,US-,NE-,185,:York County
1748,"""US-MO-009:Barry County"",",,,1,US-,NV-,001,:Churchill County
1749,"""US-MO-007:Audrain County"",",,,3,US-,NV-,003,:Clark County
1750,"""US-MO-005:Atchison County"",",,,5,US-,NV-,005,:Douglas County
1751,"""US-MO-003:Andrew County"",",,,7,US-,NV-,007,:Elko County
1752,"""US-MO-001:Adair County"",",,,9,US-,NV-,009,:Esmeralda County
1753,"""US-MS-163:Yazoo County"",",,,11,US-,NV-,011,:Eureka County
1754,"""US-MS-161:Yalobusha County"",",,,13,US-,NV-,013,:Humboldt County
1755,"""US-MS-159:Winston County"",",,,15,US-,NV-,015,:Lander County
1756,"""US-MS-157:Wilkinson County"",",,,17,US-,NV-,017,:Lincoln County
1757,"""US-MS-155:Webster County"",",,,19,US-,NV-,019,:Lyon County
1758,"""US-MS-153:Wayne County"",",,,21,US-,NV-,021,:Mineral County
1759,"""US-MS-151:Washington County"",",,,23,US-,NV-,023,:Nye County
1760,"""US-MS-149:Warren County"",",,,27,US-,NV-,027,:Pershing County
1761,"""US-MS-147:Walthall County"",",,,29,US-,NV-,029,:Storey County
1762,"""US-MS-145:Union County"",",,,31,US-,NV-,031,:Washoe County
1763,"""US-MS-143:Tunica County"",",,,33,US-,NV-,033,:White Pine County
1764,"""US-MS-141:Tishomingo County"",",,,510,US-,NV-,510,:Carson City
1765,"""US-MS-139:Tippah County"",",,,1,US-,NH-,001,:Belknap County
1766,"""US-MS-137:Tate County"",",,,3,US-,NH-,003,:Carroll County
1767,"""US-MS-135:Tallahatchie County"",",,,5,US-,NH-,005,:Cheshire County
1768,"""US-MS-133:Sunflower County"",",,,7,US-,NH-,007,:Coos County
1769,"""US-MS-131:Stone County"",",,,9,US-,NH-,009,:Grafton County
1770,"""US-MS-129:Smith County"",",,,11,US-,NH-,011,:Hillsborough County
1771,"""US-MS-127:Simpson County"",",,,13,US-,NH-,013,:Merrimack County
1772,"""US-MS-125:Sharkey County"",",,,15,US-,NH-,015,:Rockingham County
1773,"""US-MS-123:Scott County"",",,,17,US-,NH-,017,:Strafford County
1774,"""US-MS-121:Rankin County"",",,,19,US-,NH-,019,:Sullivan County
1775,"""US-MS-119:Quitman County"",",,,1,US-,NJ-,001,:Atlantic County
1776,"""US-MS-117:Prentiss County"",",,,3,US-,NJ-,003,:Bergen County
1777,"""US-MS-115:Pontotoc County"",",,,5,US-,NJ-,005,:Burlington County
1778,"""US-MS-113:Pike County"",",,,7,US-,NJ-,007,:Camden County
1779,"""US-MS-111:Perry County"",",,,9,US-,NJ-,009,:Cape May County
1780,"""US-MS-109:Pearl River County"",",,,11,US-,NJ-,011,:Cumberland County
1781,"""US-MS-107:Panola County"",",,,13,US-,NJ-,013,:Essex County
1782,"""US-MS-105:Oktibbeha County"",",,,15,US-,NJ-,015,:Gloucester County
1783,"""US-MS-103:Noxubee County"",",,,17,US-,NJ-,017,:Hudson County
1784,"""US-MS-101:Newton County"",",,,19,US-,NJ-,019,:Hunterdon County
1785,"""US-MS-099:Neshoba County"",",,,21,US-,NJ-,021,:Mercer County
1786,"""US-MS-097:Montgomery County"",",,,23,US-,NJ-,023,:Middlesex County
1787,"""US-MS-095:Monroe County"",",,,25,US-,NJ-,025,:Monmouth County
1788,"""US-MS-093:Marshall County"",",,,27,US-,NJ-,027,:Morris County
1789,"""US-MS-091:Marion County"",",,,29,US-,NJ-,029,:Ocean County
1790,"""US-MS-089:Madison County"",",,,31,US-,NJ-,031,:Passaic County
1791,"""US-MS-087:Lowndes County"",",,,33,US-,NJ-,033,:Salem County
1792,"""US-MS-085:Lincoln County"",",,,35,US-,NJ-,035,:Somerset County
1793,"""US-MS-083:Leflore County"",",,,37,US-,NJ-,037,:Sussex County
1794,"""US-MS-081:Lee County"",",,,39,US-,NJ-,039,:Union County
1795,"""US-MS-079:Leake County"",",,,41,US-,NJ-,041,:Warren County
1796,"""US-MS-077:Lawrence County"",",,,1,US-,NM-,001,:Bernalillo County
1797,"""US-MS-075:Lauderdale County"",",,,3,US-,NM-,003,:Catron County
1798,"""US-MS-073:Lamar County"",",,,5,US-,NM-,005,:Chaves County
1799,"""US-MS-071:Lafayette County"",",,,6,US-,NM-,006,:Cibola County
1800,"""US-MS-069:Kemper County"",",,,7,US-,NM-,007,:Colfax County
1801,"""US-MS-067:Jones County"",",,,9,US-,NM-,009,:Curry County
1802,"""US-MS-065:Jefferson Davis County"",",,,11,US-,NM-,011,:De Baca County
1803,"""US-MS-063:Jefferson County"",",,,13,US-,NM-,013,:Dona Ana County
1804,"""US-MS-061:Jasper County"",",,,15,US-,NM-,015,:Eddy County
1805,"""US-MS-059:Jackson County"",",,,17,US-,NM-,017,:Grant County
1806,"""US-MS-057:Itawamba County"",",,,19,US-,NM-,019,:Guadalupe County
1807,"""US-MS-055:Issaquena County"",",,,21,US-,NM-,021,:Harding County
1808,"""US-MS-053:Humphreys County"",",,,23,US-,NM-,023,:Hidalgo County
1809,"""US-MS-051:Holmes County"",",,,25,US-,NM-,025,:Lea County
1810,"""US-MS-049:Hinds County"",",,,27,US-,NM-,027,:Lincoln County
1811,"""US-MS-047:Harrison County"",",,,28,US-,NM-,028,:Los Alamos County
1812,"""US-MS-045:Hancock County"",",,,29,US-,NM-,029,:Luna County
1813,"""US-MS-043:Grenada County"",",,,31,US-,NM-,031,:McKinley County
1814,"""US-MS-041:Greene County"",",,,33,US-,NM-,033,:Mora County
1815,"""US-MS-039:George County"",",,,35,US-,NM-,035,:Otero County
1816,"""US-MS-037:Franklin County"",",,,37,US-,NM-,037,:Quay County
1817,"""US-MS-035:Forrest County"",",,,39,US-,NM-,039,:Rio Arriba County
1818,"""US-MS-033:DeSoto County"",",,,41,US-,NM-,041,:Roosevelt County
1819,"""US-MS-031:Covington County"",",,,43,US-,NM-,043,:Sandoval County
1820,"""US-MS-029:Copiah County"",",,,45,US-,NM-,045,:San Juan County
1821,"""US-MS-027:Coahoma County"",",,,47,US-,NM-,047,:San Miguel County
1822,"""US-MS-025:Clay County"",",,,49,US-,NM-,049,:Santa Fe County
1823,"""US-MS-023:Clarke County"",",,,51,US-,NM-,051,:Sierra County
1824,"""US-MS-021:Claiborne County"",",,,53,US-,NM-,053,:Socorro County
1825,"""US-MS-019:Choctaw County"",",,,55,US-,NM-,055,:Taos County
1826,"""US-MS-017:Chickasaw County"",",,,57,US-,NM-,057,:Torrance County
1827,"""US-MS-015:Carroll County"",",,,59,US-,NM-,059,:Union County
1828,"""US-MS-013:Calhoun County"",",,,61,US-,NM-,061,:Valencia County
1829,"""US-MS-011:Bolivar County"",",,,1,US-,NY-,001,:Albany County
1830,"""US-MS-009:Benton County"",",,,3,US-,NY-,003,:Allegany County
1831,"""US-MS-007:Attala County"",",,,5,US-,NY-,005,:Bronx County
1832,"""US-MS-005:Amite County"",",,,7,US-,NY-,007,:Broome County
1833,"""US-MS-003:Alcorn County"",",,,9,US-,NY-,009,:Cattaraugus County
1834,"""US-MS-001:Adams County"",",,,11,US-,NY-,011,:Cayuga County
1835,"""US-MN-173:Yellow Medicine County"",",,,13,US-,NY-,013,:Chautauqua County
1836,"""US-MN-171:Wright County"",",,,15,US-,NY-,015,:Chemung County
1837,"""US-MN-169:Winona County"",",,,17,US-,NY-,017,:Chenango County
1838,"""US-MN-167:Wilkin County"",",,,19,US-,NY-,019,:Clinton County
1839,"""US-MN-165:Watonwan County"",",,,21,US-,NY-,021,:Columbia County
1840,"""US-MN-163:Washington County"",",,,23,US-,NY-,023,:Cortland County
1841,"""US-MN-161:Waseca County"",",,,25,US-,NY-,025,:Delaware County
1842,"""US-MN-159:Wadena County"",",,,27,US-,NY-,027,:Dutchess County
1843,"""US-MN-157:Wabasha County"",",,,29,US-,NY-,029,:Erie County
1844,"""US-MN-155:Traverse County"",",,,31,US-,NY-,031,:Essex County
1845,"""US-MN-153:Todd County"",",,,33,US-,NY-,033,:Franklin County
1846,"""US-MN-151:Swift County"",",,,35,US-,NY-,035,:Fulton County
1847,"""US-MN-149:Stevens County"",",,,37,US-,NY-,037,:Genesee County
1848,"""US-MN-147:Steele County"",",,,39,US-,NY-,039,:Greene County
1849,"""US-MN-145:Stearns County"",",,,41,US-,NY-,041,:Hamilton County
1850,"""US-MN-143:Sibley County"",",,,43,US-,NY-,043,:Herkimer County
1851,"""US-MN-141:Sherburne County"",",,,45,US-,NY-,045,:Jefferson County
1852,"""US-MN-139:Scott County"",",,,47,US-,NY-,047,:Kings County
1853,"""US-MN-137:St. Louis County"",",,,49,US-,NY-,049,:Lewis County
1854,"""US-MN-135:Roseau County"",",,,51,US-,NY-,051,:Livingston County
1855,"""US-MN-133:Rock County"",",,,53,US-,NY-,053,:Madison County
1856,"""US-MN-131:Rice County"",",,,55,US-,NY-,055,:Monroe County
1857,"""US-MN-129:Renville County"",",,,57,US-,NY-,057,:Montgomery County
1858,"""US-MN-127:Redwood County"",",,,59,US-,NY-,059,:Nassau County
1859,"""US-MN-125:Red Lake County"",",,,61,US-,NY-,061,:New York County
1860,"""US-MN-123:Ramsey County"",",,,63,US-,NY-,063,:Niagara County
1861,"""US-MN-121:Pope County"",",,,65,US-,NY-,065,:Oneida County
1862,"""US-MN-119:Polk County"",",,,67,US-,NY-,067,:Onondaga County
1863,"""US-MN-117:Pipestone County"",",,,69,US-,NY-,069,:Ontario County
1864,"""US-MN-115:Pine County"",",,,71,US-,NY-,071,:Orange County
1865,"""US-MN-113:Pennington County"",",,,73,US-,NY-,073,:Orleans County
1866,"""US-MN-111:Otter Tail County"",",,,75,US-,NY-,075,:Oswego County
1867,"""US-MN-109:Olmsted County"",",,,77,US-,NY-,077,:Otsego County
1868,"""US-MN-107:Norman County"",",,,79,US-,NY-,079,:Putnam County
1869,"""US-MN-105:Nobles County"",",,,81,US-,NY-,081,:Queens County
1870,"""US-MN-103:Nicollet County"",",,,83,US-,NY-,083,:Rensselaer County
1871,"""US-MN-101:Murray County"",",,,85,US-,NY-,085,:Richmond County
1872,"""US-MN-099:Mower County"",",,,87,US-,NY-,087,:Rockland County
1873,"""US-MN-097:Morrison County"",",,,89,US-,NY-,089,:St. Lawrence County
1874,"""US-MN-095:Mille Lacs County"",",,,91,US-,NY-,091,:Saratoga County
1875,"""US-MN-093:Meeker County"",",,,93,US-,NY-,093,:Schenectady County
1876,"""US-MN-091:Martin County"",",,,95,US-,NY-,095,:Schoharie County
1877,"""US-MN-089:Marshall County"",",,,97,US-,NY-,097,:Schuyler County
1878,"""US-MN-087:Mahnomen County"",",,,99,US-,NY-,099,:Seneca County
1879,"""US-MN-085:McLeod County"",",,,101,US-,NY-,101,:Steuben County
1880,"""US-MN-083:Lyon County"",",,,103,US-,NY-,103,:Suffolk County
1881,"""US-MN-081:Lincoln County"",",,,105,US-,NY-,105,:Sullivan County
1882,"""US-MN-079:Le Sueur County"",",,,107,US-,NY-,107,:Tioga County
1883,"""US-MN-077:Lake of the Woods County"",",,,109,US-,NY-,109,:Tompkins County
1884,"""US-MN-075:Lake County"",",,,111,US-,NY-,111,:Ulster County
1885,"""US-MN-073:Lac qui Parle County"",",,,113,US-,NY-,113,:Warren County
1886,"""US-MN-071:Koochiching County"",",,,115,US-,NY-,115,:Washington County
1887,"""US-MN-069:Kittson County"",",,,117,US-,NY-,117,:Wayne County
1888,"""US-MN-067:Kandiyohi County"",",,,119,US-,NY-,119,:Westchester County
1889,"""US-MN-065:Kanabec County"",",,,121,US-,NY-,121,:Wyoming County
1890,"""US-MN-063:Jackson County"",",,,123,US-,NY-,123,:Yates County
1891,"""US-MN-061:Itasca County"",",,,1,US-,NC-,001,:Alamance County
1892,"""US-MN-059:Isanti County"",",,,3,US-,NC-,003,:Alexander County
1893,"""US-MN-057:Hubbard County"",",,,5,US-,NC-,005,:Alleghany County
1894,"""US-MN-055:Houston County"",",,,7,US-,NC-,007,:Anson County
1895,"""US-MN-053:Hennepin County"",",,,9,US-,NC-,009,:Ashe County
1896,"""US-MN-051:Grant County"",",,,11,US-,NC-,011,:Avery County
1897,"""US-MN-049:Goodhue County"",",,,13,US-,NC-,013,:Beaufort County
1898,"""US-MN-047:Freeborn County"",",,,15,US-,NC-,015,:Bertie County
1899,"""US-MN-045:Fillmore County"",",,,17,US-,NC-,017,:Bladen County
1900,"""US-MN-043:Faribault County"",",,,19,US-,NC-,019,:Brunswick County
1901,"""US-MN-041:Douglas County"",",,,21,US-,NC-,021,:Buncombe County
1902,"""US-MN-039:Dodge County"",",,,23,US-,NC-,023,:Burke County
1903,"""US-MN-037:Dakota County"",",,,25,US-,NC-,025,:Cabarrus County
1904,"""US-MN-035:Crow Wing County"",",,,27,US-,NC-,027,:Caldwell County
1905,"""US-MN-033:Cottonwood County"",",,,29,US-,NC-,029,:Camden County
1906,"""US-MN-031:Cook County"",",,,31,US-,NC-,031,:Carteret County
1907,"""US-MN-029:Clearwater County"",",,,33,US-,NC-,033,:Caswell County
1908,"""US-MN-027:Clay County"",",,,35,US-,NC-,035,:Catawba County
1909,"""US-MN-025:Chisago County"",",,,37,US-,NC-,037,:Chatham County
1910,"""US-MN-023:Chippewa County"",",,,39,US-,NC-,039,:Cherokee County
1911,"""US-MN-021:Cass County"",",,,41,US-,NC-,041,:Chowan County
1912,"""US-MN-019:Carver County"",",,,43,US-,NC-,043,:Clay County
1913,"""US-MN-017:Carlton County"",",,,45,US-,NC-,045,:Cleveland County
1914,"""US-MN-015:Brown County"",",,,47,US-,NC-,047,:Columbus County
1915,"""US-MN-013:Blue Earth County"",",,,49,US-,NC-,049,:Craven County
1916,"""US-MN-011:Big Stone County"",",,,51,US-,NC-,051,:Cumberland County
1917,"""US-MN-009:Benton County"",",,,53,US-,NC-,053,:Currituck County
1918,"""US-MN-007:Beltrami County"",",,,55,US-,NC-,055,:Dare County
1919,"""US-MN-005:Becker County"",",,,57,US-,NC-,057,:Davidson County
1920,"""US-MN-003:Anoka County"",",,,59,US-,NC-,059,:Davie County
1921,"""US-MN-001:Aitkin County"",",,,61,US-,NC-,061,:Duplin County
1922,"""US-MI-165:Wexford County"",",,,63,US-,NC-,063,:Durham County
1923,"""US-MI-163:Wayne County"",",,,65,US-,NC-,065,:Edgecombe County
1924,"""US-MI-161:Washtenaw County"",",,,67,US-,NC-,067,:Forsyth County
1925,"""US-MI-159:Van Buren County"",",,,69,US-,NC-,069,:Franklin County
1926,"""US-MI-157:Tuscola County"",",,,71,US-,NC-,071,:Gaston County
1927,"""US-MI-155:Shiawassee County"",",,,73,US-,NC-,073,:Gates County
1928,"""US-MI-153:Schoolcraft County"",",,,75,US-,NC-,075,:Graham County
1929,"""US-MI-151:Sanilac County"",",,,77,US-,NC-,077,:Granville County
1930,"""US-MI-149:St. Joseph County"",",,,79,US-,NC-,079,:Greene County
1931,"""US-MI-147:St. Clair County"",",,,81,US-,NC-,081,:Guilford County
1932,"""US-MI-145:Saginaw County"",",,,83,US-,NC-,083,:Halifax County
1933,"""US-MI-143:Roscommon County"",",,,85,US-,NC-,085,:Harnett County
1934,"""US-MI-141:Presque Isle County"",",,,87,US-,NC-,087,:Haywood County
1935,"""US-MI-139:Ottawa County"",",,,89,US-,NC-,089,:Henderson County
1936,"""US-MI-137:Otsego County"",",,,91,US-,NC-,091,:Hertford County
1937,"""US-MI-135:Oscoda County"",",,,93,US-,NC-,093,:Hoke County
1938,"""US-MI-133:Osceola County"",",,,95,US-,NC-,095,:Hyde County
1939,"""US-MI-131:Ontonagon County"",",,,97,US-,NC-,097,:Iredell County
1940,"""US-MI-129:Ogemaw County"",",,,99,US-,NC-,099,:Jackson County
1941,"""US-MI-127:Oceana County"",",,,101,US-,NC-,101,:Johnston County
1942,"""US-MI-125:Oakland County"",",,,103,US-,NC-,103,:Jones County
1943,"""US-MI-123:Newaygo County"",",,,105,US-,NC-,105,:Lee County
1944,"""US-MI-121:Muskegon County"",",,,107,US-,NC-,107,:Lenoir County
1945,"""US-MI-119:Montmorency County"",",,,109,US-,NC-,109,:Lincoln County
1946,"""US-MI-117:Montcalm County"",",,,111,US-,NC-,111,:McDowell County
1947,"""US-MI-115:Monroe County"",",,,113,US-,NC-,113,:Macon County
1948,"""US-MI-113:Missaukee County"",",,,115,US-,NC-,115,:Madison County
1949,"""US-MI-111:Midland County"",",,,117,US-,NC-,117,:Martin County
1950,"""US-MI-109:Menominee County"",",,,119,US-,NC-,119,:Mecklenburg County
1951,"""US-MI-107:Mecosta County"",",,,121,US-,NC-,121,:Mitchell County
1952,"""US-MI-105:Mason County"",",,,123,US-,NC-,123,:Montgomery County
1953,"""US-MI-103:Marquette County"",",,,125,US-,NC-,125,:Moore County
1954,"""US-MI-101:Manistee County"",",,,127,US-,NC-,127,:Nash County
1955,"""US-MI-099:Macomb County"",",,,129,US-,NC-,129,:New Hanover County
1956,"""US-MI-097:Mackinac County"",",,,131,US-,NC-,131,:Northampton County
1957,"""US-MI-095:Luce County"",",,,133,US-,NC-,133,:Onslow County
1958,"""US-MI-093:Livingston County"",",,,135,US-,NC-,135,:Orange County
1959,"""US-MI-091:Lenawee County"",",,,137,US-,NC-,137,:Pamlico County
1960,"""US-MI-089:Leelanau County"",",,,139,US-,NC-,139,:Pasquotank County
1961,"""US-MI-087:Lapeer County"",",,,141,US-,NC-,141,:Pender County
1962,"""US-MI-085:Lake County"",",,,143,US-,NC-,143,:Perquimans County
1963,"""US-MI-083:Keweenaw County"",",,,145,US-,NC-,145,:Person County
1964,"""US-MI-081:Kent County"",",,,147,US-,NC-,147,:Pitt County
1965,"""US-MI-079:Kalkaska County"",",,,149,US-,NC-,149,:Polk County
1966,"""US-MI-077:Kalamazoo County"",",,,151,US-,NC-,151,:Randolph County
1967,"""US-MI-075:Jackson County"",",,,153,US-,NC-,153,:Richmond County
1968,"""US-MI-073:Isabella County"",",,,155,US-,NC-,155,:Robeson County
1969,"""US-MI-071:Iron County"",",,,157,US-,NC-,157,:Rockingham County
1970,"""US-MI-069:Iosco County"",",,,159,US-,NC-,159,:Rowan County
1971,"""US-MI-067:Ionia County"",",,,161,US-,NC-,161,:Rutherford County
1972,"""US-MI-065:Ingham County"",",,,163,US-,NC-,163,:Sampson County
1973,"""US-MI-063:Huron County"",",,,165,US-,NC-,165,:Scotland County
